date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2024-09-17,22.4,12.2,0.1,24.6,3.1,10.2,5.700000000000007,33.4,-2.2600000000000016,0,0
2024-09-18,24.3,14.9,0.0,25.0,4.03,9.4,2.9000000000000075,33.4,-0.3866666666666667,0,0
2024-09-19,23.5,14.9,0.7,23.5,3.76,8.6,2.000000000000007,34.0,-1.1499999999999986,1,0
2024-09-20,23.9,12.6,0.0,15.3,3.42,11.299999999999999,1.6000000000000072,33.800000000000004,-0.7900000000000027,1,0
2024-09-21,23.1,11.7,0.0,9.9,2.78,11.400000000000002,1.200000000000007,33.800000000000004,-1.576666666666668,1,0
2024-09-22,23.8,11.4,0.0,8.9,2.3,12.4,1.200000000000007,33.800000000000004,-0.7299999999999969,1,0
2024-09-23,19.9,14.4,4.6,14.6,1.51,5.499999999999998,5.400000000000007,37.599999999999994,-4.223333333333333,0,0
2024-09-24,18.8,13.2,4.5,23.0,1.84,5.600000000000001,9.800000000000008,41.5,-5.186666666666667,0,0
2024-09-25,17.9,13.6,5.8,21.4,1.62,4.299999999999999,15.600000000000007,47.300000000000004,-5.913333333333334,0,0
2024-09-26,18.5,14.1,35.1,28.8,0.94,4.4,50.00000000000001,82.4,-5.006666666666668,0,1
2024-09-27,16.4,12.2,0.5,32.0,2.52,4.199999999999999,50.50000000000001,82.9,-6.643333333333334,0,0
2024-09-28,14.8,6.4,1.0,17.0,2.08,8.4,51.50000000000001,83.9,-7.640000000000001,0,0
2024-09-29,14.2,5.1,0.0,12.2,1.69,9.1,51.50000000000001,83.9,-7.780000000000001,0,0
2024-09-30,14.8,6.9,6.8,18.6,1.01,7.9,53.7,90.7,-6.66,0,1
2024-10-01,17.2,7.7,1.0,22.6,1.91,9.5,50.2,91.6,-3.759999999999998,0,0
