date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2023-10-10,32.4,23.5,0.1,9.7,4.08,8.899999999999999,47.400000000000006,140.60000000000002,0.12333333333332774,0,0
2023-10-11,33.9,23.6,0.0,11.3,4.67,10.299999999999997,46.0,135.3,1.5466666666666669,0,0
2023-10-12,32.3,23.3,0.3,9.2,4.16,8.999999999999996,46.1,127.0,-0.20666666666667055,0,0
2023-10-13,33.2,22.8,5.6,9.0,4.22,10.400000000000002,48.9,128.1,0.6266666666666652,0,0
2023-10-14,31.8,22.8,20.4,10.5,3.69,9.0,58.0,145.7,-0.8399999999999999,0,0
2023-10-15,32.5,22.8,7.2,16.3,4.04,9.7,41.0,137.49999999999997,-0.173333333333332,1,0
2023-10-16,33.3,23.5,0.5,16.1,4.36,9.799999999999997,34.1,129.39999999999998,0.5533333333333275,1,0
2023-10-17,33.7,23.3,10.2,8.7,4.46,10.400000000000002,44.199999999999996,125.9,0.7766666666666708,0,0
2023-10-18,32.0,22.5,30.3,10.0,3.69,9.5,74.5,143.6,-0.923333333333332,0,1
2023-10-19,32.2,22.6,19.1,11.9,3.62,9.600000000000001,93.3,158.6,-0.7666666666666657,0,0
2023-10-20,32.3,23.0,20.6,9.7,3.93,9.299999999999997,108.30000000000001,175.7,-0.6933333333333351,0,0
2023-10-21,32.5,23.0,9.2,8.4,3.83,9.5,97.1,184.70000000000002,-0.509999999999998,0,0
2023-10-22,32.1,22.5,1.0,8.0,3.92,9.600000000000001,90.9,185.70000000000002,-0.9166666666666643,0,0
2023-10-23,32.0,22.5,27.6,11.8,4.34,9.5,118.0,213.3,-1.0166666666666657,0,0
2023-10-24,30.4,23.4,7.3,6.5,2.92,7.0,115.10000000000001,220.4,-2.5133333333333354,0,0
2023-10-25,32.5,23.1,2.6,9.2,4.35,9.399999999999999,87.4,223.0,-0.403333333333336,0,0
2023-10-26,32.2,23.3,0.4,10.3,4.21,8.900000000000002,68.7,223.3,-0.6766666666666694,0,0
2023-10-27,33.0,22.5,2.8,9.4,4.48,10.5,50.9,226.1,0.14999999999999858,0,0
2023-10-28,32.1,22.7,0.4,10.7,4.57,9.400000000000002,42.1,226.3,-0.6666666666666643,0,0
2023-10-29,32.5,22.9,7.7,9.8,4.3,9.600000000000001,48.800000000000004,222.0,-0.240000000000002,0,0
2023-10-30,33.1,22.4,13.9,18.1,4.38,10.700000000000003,35.1,235.79999999999998,0.39000000000000057,1,0
2023-10-31,32.0,23.0,9.8,10.4,3.94,9.0,37.6,245.6,-0.6533333333333289,1,0
2023-11-01,33.0,23.5,1.2,11.1,4.86,9.5,36.2,246.79999999999998,0.3999999999999986,1,0
2023-11-02,31.9,22.9,37.2,13.3,3.65,9.0,73.0,282.7,-0.6333333333333329,0,1
2023-11-03,31.0,23.4,32.2,11.5,2.94,7.600000000000001,102.4,313.5,-1.4166666666666643,0,1
2023-11-04,31.3,22.9,16.0,11.1,3.49,8.400000000000002,118.0,329.3,-1.0199999999999996,0,0
2023-11-05,32.8,23.6,19.7,9.2,4.53,9.199999999999996,130.0,346.2,0.4799999999999969,0,0
2023-11-06,32.0,22.4,21.1,10.2,3.72,9.600000000000001,137.20000000000002,356.0,-0.2633333333333354,0,0
2023-11-07,31.5,23.7,5.0,8.1,3.56,7.800000000000001,132.4,336.79999999999995,-0.740000000000002,0,0
2023-11-08,31.1,23.0,20.7,9.0,3.6,8.100000000000001,151.9,350.1,-1.1866666666666674,0,0
2023-11-09,30.5,22.4,2.9,7.5,2.92,8.100000000000001,117.6,352.9,-1.7233333333333292,0,0
2023-11-10,33.0,23.1,0.4,13.0,4.85,9.899999999999999,85.80000000000001,353.29999999999995,0.8066666666666649,0,0
2023-11-11,31.6,23.5,12.4,9.6,3.37,8.100000000000001,82.2,365.40000000000003,-0.5700000000000003,0,0
2023-11-12,31.6,22.8,45.9,9.1,3.8,8.8,108.4,405.7,-0.5166666666666657,0,1
2023-11-13,32.0,23.3,5.8,6.2,4.06,8.7,93.1,391.1,-0.12333333333333485,0,0
2023-11-14,33.0,23.5,3.2,7.4,4.38,9.5,91.3,387.1,0.8599999999999994,0,0
2023-11-15,33.0,23.2,15.6,11.5,4.83,9.8,86.19999999999999,402.20000000000005,0.8699999999999974,0,0
2023-11-16,31.0,23.0,17.1,10.8,3.14,8.0,100.4,409.1,-1.0399999999999991,0,0
2023-11-17,30.8,22.9,22.0,7.9,3.83,7.900000000000002,122.0,400.80000000000007,-1.1999999999999993,0,0
2023-11-18,31.5,23.4,18.2,8.0,3.59,8.100000000000001,127.80000000000001,399.90000000000003,-0.47666666666666657,0,0
2023-11-19,31.0,23.2,35.3,8.2,3.24,7.800000000000001,117.2,414.6,-0.9333333333333336,0,1
2023-11-20,32.5,23.9,0.2,9.0,4.17,8.600000000000001,111.60000000000001,405.6,0.5666666666666664,0,0
2023-11-21,32.4,23.3,14.7,10.1,4.02,9.099999999999998,123.1,419.3,0.45666666666666345,0,0
2023-11-22,30.8,22.9,31.6,8.3,3.35,7.900000000000002,139.10000000000002,423.30000000000007,-1.1033333333333317,0,1
2023-11-23,31.0,23.2,18.1,8.9,3.35,7.800000000000001,140.1,434.1,-0.9233333333333356,0,0
2023-11-24,33.0,23.3,44.5,7.8,4.58,9.7,162.6,476.0,1.0599999999999987,0,1
2023-11-25,32.9,23.0,16.3,10.2,4.37,9.899999999999999,160.70000000000002,491.90000000000003,0.9366666666666674,0,0
2023-11-26,29.8,23.2,24.5,6.5,2.88,6.600000000000001,149.9,513.6,-2.0566666666666684,0,0
2023-11-27,31.8,22.9,1.7,7.6,4.17,8.900000000000002,151.4,514.9000000000001,-0.046666666666666856,0,0
2023-11-28,32.3,23.2,9.0,10.5,3.59,9.099999999999998,145.7,516.2,0.46000000000000085,0,0
2023-11-29,31.5,23.6,3.5,7.4,4.13,7.899999999999999,117.6,505.8,-0.2866666666666653,0,0
2023-11-30,32.8,23.0,30.8,14.5,4.2,9.799999999999997,130.3,526.8,0.9866666666666646,0,1
2023-12-01,30.9,22.9,46.2,10.5,3.36,8.0,132.0,571.8,-0.8433333333333373,0,1
2023-12-02,28.9,23.0,4.8,8.4,2.27,5.899999999999999,120.5,539.4000000000001,-2.7433333333333323,0,0
2023-12-03,33.0,23.2,22.7,10.0,4.63,9.8,118.7,529.9,1.2900000000000027,0,0
2023-12-04,28.0,23.0,13.9,10.6,2.55,5.0,130.9,527.8,-3.6000000000000014,0,0
2023-12-05,32.0,23.6,2.2,9.0,4.03,8.399999999999999,124.1,510.3,0.42666666666666586,0,0
2023-12-06,32.2,23.2,20.6,8.7,4.38,9.000000000000004,141.2,509.80000000000007,0.620000000000001,0,0
2023-12-07,26.2,23.1,14.3,9.0,1.11,3.099999999999998,124.7,519.1,-5.203333333333333,0,0
2023-12-08,31.6,23.5,15.1,14.3,4.3,8.100000000000001,93.60000000000001,513.5,0.17999999999999972,0,0
2023-12-09,31.6,23.4,40.7,10.2,3.79,8.200000000000003,129.5,551.3000000000001,0.14333333333333442,0,1
2023-12-10,28.7,23.8,3.6,6.6,2.23,4.899999999999999,110.4,554.5,-2.613333333333337,0,0
2023-12-11,31.5,23.4,2.5,14.3,4.1,8.100000000000001,99.0,544.6,0.18999999999999773,0,0
2023-12-12,31.2,23.4,25.2,11.6,3.72,7.800000000000001,122.00000000000001,523.9,-0.09666666666666757,0,0
2023-12-13,29.1,23.2,4.1,9.2,2.9,5.900000000000002,105.5,522.1999999999999,-2.099999999999998,0,0
2023-12-14,31.8,23.4,31.5,8.4,4.26,8.400000000000002,122.7,550.5,0.6400000000000006,0,1
2023-12-15,29.5,23.5,6.8,6.7,2.65,6.0,114.39999999999999,541.7,-1.543333333333333,0,0
2023-12-16,33.0,23.4,16.1,9.7,4.76,9.600000000000001,89.8,540.6999999999999,1.8900000000000006,0,0
